0 , 333
1 , 332
2 , 330
3 , 329
4 , 328
5 , 327
6 , 325
7 , 323
8 , 322
9 , 321
10 , 319
11 , 316
12 , 315
13 , 314
14 , 313
15 , 312
16 , 308
17 , 307
18 , 306
19 , 305
20 , 303
21 , 301
22 , 299
23 , 296
24 , 294
25 , 292
26 , 291
27 , 290
28 , 289
29 , 286
30 , 285
31 , 282
32 , 281
33 , 279
34 , 276
35 , 275
36 , 273
37 , 271
38 , 266
39 , 265
40 , 262
41 , 260
42 , 259
43 , 257
44 , 255
45 , 253
46 , 250
47 , 248
48 , 247
49 , 243
50 , 242
51 , 241
52 , 236
53 , 234
54 , 233
55 , 232
56 , 231
57 , 230
58 , 229
59 , 228
60 , 227
61 , 226
62 , 225
63 , 223
64 , 220
65 , 219
66 , 217
67 , 216
68 , 213
69 , 210
70 , 209
71 , 207
72 , 206
73 , 205
74 , 204
75 , 202
76 , 201
77 , 200
78 , 199
79 , 198
80 , 197
81 , 196
82 , 192
83 , 191
84 , 188
85 , 187
86 , 186
87 , 185
88 , 184
89 , 182
90 , 177
91 , 174
92 , 170
93 , 169
94 , 167
95 , 166
96 , 162
97 , 161
98 , 160
99 , 156
100 , 154
101 , 153
102 , 149
103 , 144
104 , 142
105 , 141
106 , 139
107 , 138
108 , 137
109 , 136
110 , 135
111 , 134
112 , 129
113 , 128
114 , 127
115 , 125
116 , 124
117 , 122
118 , 120
119 , 117
120 , 116
121 , 115
122 , 114
123 , 112
124 , 108
125 , 107
126 , 104
127 , 103
128 , 102
129 , 101
130 , 99
131 , 98
132 , 97
133 , 96
134 , 91
135 , 85
136 , 84
137 , 83
138 , 78
139 , 76
140 , 73
141 , 72
142 , 70
143 , 69
144 , 67
145 , 63
146 , 62
147 , 60
148 , 59
149 , 57
150 , 53
151 , 50
152 , 48
153 , 47
154 , 46
155 , 44
156 , 43
157 , 41
158 , 38
159 , 35
160 , 31
161 , 30
162 , 25
163 , 22
164 , 21
165 , 19
166 , 17
167 , 15
168 , 13
169 , 9
170 , 5
171 , 4
172 , 3
