(-14, 2)
(-14, 2)
(-15, 1)
(-6, 0)
(-1, 13)
(-4, 33)
(-2, 12)
(-6, 4)
(-3, 11)
(-6, 2)
(-4, 10)
(-4, 4)
(-6, 8)
(-18, 0)
(-8, 6)
(-8, 6)
(-9, 5)
(-4, 12)
(-10, 4)
(-4, 16)
(-12, 2)
(-6, 2)
(-1, 3)
(-6, 0)
(-2, 2)
(-8, 22)
(-3, 1)
(-6, 12)
(-4, 0)
(-4, 0)
(-1, 1)
(-14, 2)
(-3, 1)
(-6, 6)
(-4, 0)
(-6, 2)
(-1, 13)
(-10, 2)
(-2, 12)
(-18, 12)
(-4, 10)
(-4, 10)
(-6, 8)
(-4, 0)
(-8, 6)
(-5, 1)
(-11, 3)
(-9, 15)
(-13, 1)
(-29, 1)
(-1, 9)
(-1, 9)
(-2, 8)
(-1, 13)
(-3, 7)
(-9, 13)
(-4, 6)
(-1, 11)
(-7, 3)
(-19, 5)
(-8, 2)
(-11, 5)
(-1, 11)
(-1, 11)
(-2, 10)
(-11, 3)
(-4, 8)
(-11, 1)
(-7, 5)
(-1, 13)
(-8, 4)
(-5, 15)
(-10, 2)
(-1, 5)
(-12, 0)
(-1, 5)
(-3, 3)
(-11, 3)
(-4, 2)
(-15, 5)
(-1, 11)
(-1, 11)
(-3, 9)
(-5, 3)
(-4, 8)
(-15, 5)
(-6, 6)
(-17, 9)
(-8, 4)
(-5, 5)
(-10, 2)
(-1, 3)
(-1, 9)
(-7, 9)
(-3, 7)
(-11, 3)
(-4, 6)
(-1, 3)
(-8, 2)
(-5, 11)
(-9, 1)
(-9, 1)
(-10, 0)
(-15, 3)
(-3, 3)
(-9, 13)
(-5, 1)
(-1, 1)
(-6, 0)
(-15, 1)
(-1, 3)
(-1, 3)
(-2, 2)
(-7, 1)
(-3, 1)
(-5, 32)
(-4, 0)
(-7, 3)
(-1, 1)
(-7, 1)
(-2, 0)
(-5, 3)
(-1, 15)
(-19, 3)
(-2, 14)
(-1, 1)
(-4, 12)
(-9, 5)
(-7, 9)
(-15, 22)
(-8, 8)
(-7, 1)
(-10, 6)
(-7, 3)
(-11, 5)
(-1, 11)
(-14, 2)
(-1, 1)
(-1, 17)
(12, 12)
(-2, 16)
(-5, 19)
(-4, 14)
(-7, 1)
(-5, 13)
(-11, 1)
(-6, 12)
(-19, 11)
(-7, 11)
(-17, 1)
(-9, 9)
(-9, 9)
(-10, 8)
(-1, 1)
(-11, 7)
(2, 2)
(-12, 6)
(-6, 0)
(-13, 5)
(-16, 8)
(-14, 4)
(-6, 4)
(-15, 3)
(-10, 14)
(-1, 13)
(-2, 8)
(-2, 12)
(-2, 12)
(-5, 9)
(-2, 4)
(-6, 8)
(-6, 12)
(-7, 7)
(-20, 4)
(-8, 6)
(-12, 4)
(-9, 5)
(-10, 14)
(-11, 3)
(-2, 10)
(-2, 4)
(-16, 2)
(-5, 1)
(-20, 4)
(-3, 3)
(-8, 4)
(-4, 2)
(-6, 14)
(-6, 0)
(-8, 18)
(-1, 3)
(-12, 2)
(-1, 5)
(-2, 10)
(-2, 4)
(-2, 4)
(-3, 3)
(-6, 2)
(-1, 17)
(-2, 4)
(-3, 15)
(-6, 2)
(-4, 14)
(-2, 2)
(-8, 10)
(-6, 0)
(-13, 5)
(-8, 2)
(-15, 3)
(-10, 0)
(-16, 2)
(-16, 2)
(-18, 0)
(-6, 2)
(-1, 7)
(-8, 2)
(-2, 6)
(-8, 4)
(-3, 5)
(-10, 12)
(-4, 4)
(-10, 8)
(-5, 3)
(-2, 0)
(-2, 2)
(-8, 2)
(-3, 1)
(-8, 0)
(-4, 0)
(-6, 2)
(-2, 18)
(-2, 0)
(-3, 17)
(-10, 2)
(-5, 15)
(-6, 10)
(-7, 13)
(-16, 21)
(-10, 10)
(-8, 2)
(-11, 9)
(-2, 10)
(-12, 8)
(-10, 20)
(-13, 7)
(-8, 10)
(-15, 5)
(-16, 0)
(-19, 1)
(-8, 4)
(-20, 0)
(-8, 0)
(-3, 1)
(-18, 0)
(-4, 0)
(-6, 8)
(-1, 1)
(-10, 8)
(-2, 0)
(-2, 0)
(-2, 20)
(-2, 20)
(-3, 19)
(-12, 10)
(-4, 18)
(-22, 0)
(-5, 17)
(-10, 2)
(-10, 12)
(-18, 19)
(-16, 6)
(-1, 15)
(-17, 5)
(-11, 5)
(-18, 4)
(-5, 1)
(-1, 11)
(-14, 8)
(-3, 9)
(-12, 0)
(-6, 6)
(-6, 0)
(-7, 5)
(-10, 27)
(-9, 3)
(7, 7)
(-10, 2)
(-5, 17)
(-12, 0)
(-3, 9)
(-4, 4)
(-1, 36)
(-5, 3)
(-11, 26)
(-7, 1)
(6, 6)
(-8, 0)
(-6, 16)
(-2, 14)
(-4, 8)
(-6, 10)
(-2, 35)
(-9, 7)
(5, 5)
(-11, 5)
(-17, 5)
(-12, 4)
(-5, 7)
(-13, 3)
(-3, 5)
(-15, 1)
(-15, 1)
(-16, 0)
(-3, 34)
(-2, 4)
(14, 14)
(-5, 1)
